seg_id,u,v,key,street,highway,length_m,lat,lon,light,encl_frontage,encl_height,poi_density,poi_night_density,transit_night_400m,vis_sidewalk,vis_vegetation,vis_sky,vis_building,vis_pole,has_visual,car_free,traffic_class,maxspeed_mph,lanes,traffic_exposure,sidewalk_present,crossing_near,day_safety,comfort_night,geometry_wkt
0,126143170,6746387794,0,nan,footway,65.9,43.6087,-116.204,0.0,0.0,0.0,3,0,2,,,,,,False,1.0,0.0,25.0,2.0,0.0,1.0,1.0,0.92,0.2227,"LINESTRING (-116.204333 43.608591, -116.204298 43.608627, -116.204235 43.608673, -116.20419 43.608687, -116.204139 43.608696, -116.20391 43.608696, -116.20382 43.608703, -116.203767 43.60871, -116.203712 43.608739, -116.203638 43.608812)"
1,126143176,9451654287,0,West Julia Davis Drive,unclassified,134.4,43.6102,-116.2048,0.0,0.75,5.0603,6,0,3,0.0786,0.3655,0.1599,0.0028,0.004,True,0.0,2.0,15.0,2.0,0.107,0.5,4.0,0.974,0.1804,"LINESTRING (-116.205634 43.610284, -116.205468 43.610286, -116.205304 43.61028, -116.205162 43.610263, -116.205007 43.610225, -116.204801 43.61014, -116.204637 43.610035, -116.204562 43.609986, -116.204233 43.609738)"
2,126171718,126260474,0,East Holly Street,residential,74.6,43.6058,-116.1868,0.0,1.0,4.8849,2,0,0,,,,,,False,0.0,2.0,25.0,2.0,0.179,0.5,5.0,0.881,0.0,"LINESTRING (-116.186363 43.605582, -116.187141 43.605946)"
3,126177390,957703931,0,nan,footway,80.9,43.6104,-116.2161,0.0,0.0,0.0,2,1,1,,,,,,False,1.0,0.0,25.0,2.0,0.0,1.0,2.0,0.92,0.2911,"LINESTRING (-116.21624 43.610775, -116.216199 43.610745, -116.216158 43.610712, -116.21613 43.610658, -116.216118 43.610603, -116.216113 43.610552, -116.216103 43.610466, -116.21607 43.610412, -116.216009 43.610293, -116.216008 43.610231, -116.216017 43.610162, -116.216029 43.610128, -116.216044 43.610092)"
4,126177451,898395076,0,nan,footway,93.5,43.608,-116.2181,0.0,0.0,0.0,0,0,0,,,,,,False,1.0,0.0,25.0,2.0,0.0,1.0,1.0,0.92,0.2136,"LINESTRING (-116.218675 43.608035, -116.218436 43.608035, -116.218329 43.608027, -116.218222 43.608009, -116.218095 43.607982, -116.218006 43.60795, -116.217861 43.607873, -116.21783 43.607831, -116.217824 43.607785, -116.217833 43.607736, -116.21786 43.60767)"
5,126177451,898394987,0,nan,footway,297.7,43.6067,-116.2168,0.0,0.2353,4.3921,1,0,0,,,,,,False,1.0,0.0,25.0,2.0,0.0,1.0,1.0,0.92,0.2648,"LINESTRING (-116.215309 43.605978, -116.215509 43.606007, -116.215603 43.606044, -116.215698 43.606112, -116.215775 43.60617, -116.215884 43.606218, -116.215978 43.606254, -116.216091 43.606277, -116.216202 43.606304, -116.216314 43.606354, -116.216405 43.606406, -116.216498 43.606464, -116.216581 43.60653, -116.216643 43.606589, -116.216759 43.606712, -116.216836 43.606778, -116.216945 43.606851, -116.217056 43.606908, -116.217225 43.60699, -116.217389 43.607069, -116.217584 43.607171, -116.217712 43.607238, -116.217818 43.607308, -116.217867 43.60736, -116.217891 43.607418, -116.217909 43.607519, -116.217901 43.607575, -116.217883 43.60762, -116.21786 43.60767)"
6,126186876,6212506114,0,West Julia Davis Drive,unclassified,72.7,43.6095,-116.2037,0.0,0.0,0.0,3,0,3,,,,,,False,0.0,2.0,15.0,2.0,0.107,0.5,3.0,0.974,0.2759,"LINESTRING (-116.204125 43.609675, -116.203981 43.6096, -116.203758 43.609516, -116.203447 43.609442, -116.203304 43.609421)"
7,126186876,7075988418,0,West Julia Davis Drive,unclassified,138.0,43.6093,-116.2025,0.0,0.375,3.9526,4,0,3,,,,,,False,0.0,2.0,15.0,2.0,0.107,0.5,2.0,0.974,0.3055,"LINESTRING (-116.201648 43.609145, -116.201843 43.609172, -116.202003 43.609206, -116.202293 43.609288, -116.202509 43.609351, -116.202738 43.609399, -116.202958 43.609411, -116.203304 43.609421)"
8,126194312,126239103,0,South Walnut Street,tertiary,66.8,43.6037,-116.1854,0.0362,0.75,5.0322,0,0,0,0.0112,0.3209,0.1256,0.0118,0.0012,True,0.0,3.0,30.0,2.0,0.321,0.5,3.0,0.773,0.171,"LINESTRING (-116.185584 43.603489, -116.185137 43.603995)"
9,126195636,126195640,0,West Yale Court,residential,55.9,43.6017,-116.2043,0.0259,1.0,2.6014,0,0,0,,,,,,False,0.0,2.0,25.0,2.0,0.179,0.5,0.0,0.881,0.0311,"LINESTRING (-116.204199 43.601954, -116.2045 43.601501)"
